time,x,y,z
40.739,1.0948511507907852,-0.005020798636478629,-0.0010019705738345368
40.772,1.0981390911942979,-0.005008278193436552,-0.0010020361627797007
40.806,1.101524953405653,-0.004995229021017273,-0.001002130841947911
40.839,1.1048170368414945,-0.0049834159787844464,-0.0010022605885421192
40.872,1.1080815858240673,-0.004978976429956842,-0.001001767802898467
40.906,1.1114250305441549,-0.004964694890731719,-0.00100101082385887
40.939,1.1147103562551302,-0.004951092989562711,-0.0010014651205094392
40.973,1.1180132243130143,-0.00493771558404469,-0.0010016575859570429
41.006,1.1214145266772617,-0.00492464128886102,-0.001001668636864822
41.039,1.1247221336228395,-0.004912577536564826,-0.0010016223704908088
41.072,1.1280299877462163,-0.004901185520184432,-0.001001562343417358
41.106,1.1314386141357566,-0.0048901344184103974,-0.001001513179383854
41.139,1.1347249420207763,-0.004879326113728436,-0.0010015102452472988
41.173,1.138011591949724,-0.0048677876137056975,-0.001001482644390081
41.206,1.1413983962888947,-0.0048550375939904675,-0.001001461107433193
41.239,1.1447056349397178,-0.0048424679737226264,-0.001001408440676567
41.272,1.1480136012638404,-0.004829821786170348,-0.001001393167082136
41.306,1.151422392780528,-0.004816958803651128,-0.0010013846637074407
41.339,1.154723919380417,-0.004804470849036067,-0.00100138530777737
41.372,1.1580259532791797,-0.004791647689172488,-0.0010013877413790583
41.406,1.161428657918741,-0.0047781006243790645,-0.0010014004039721226
41.439,1.1647250415819579,-0.004764618191426323,-0.0010014223603167088
41.472,1.168021948473136,-0.004750720945925831,-0.0010014491468478721
41.506,1.1714194394958237,-0.004735989112615736,-0.0010014784482079118
41.539,1.1747357167233679,-0.004721758662372612,-0.0010015314577743982
41.572,1.178052899775143,-0.004708566142684408,-0.0010015814628018434
41.606,1.1814712440974457,-0.0046960505175164344,-0.0010016422187519858
41.639,1.1847743139946814,-0.004684551399655537,-0.001001707750214572
41.672,1.1880776144939356,-0.004672912067075325,-0.0010017869388267188
41.706,1.1914808100522387,-0.0046608011541124355,-0.0010018512282173493
41.739,1.1947884772170052,-0.004649042010623013,-0.0010019129115387063
41.772,1.1980954397717756,-0.004637537485708791,-0.001001972525233312
41.806,1.2015015575978754,-0.004625974851823305,-0.0010020381322866853
41.839,1.2048027968965977,-0.0046150859006140535,-0.0010021452019972031
41.872,1.2080998279209862,-0.00460478310256763,-0.001002300464843519
41.906,1.2114649029167974,-0.004598649990009647,-0.0010018580962273052
41.939,1.2146941502713875,-0.004586815290398319,-0.001001108012358226
41.972,1.21796104258736,-0.004575107647215173,-0.0010018484833884053
42.006,1.2213327421050768,-0.004561586089251936,-0.0010017538767797263
42.039,1.224637393684233,-0.004547318859284249,-0.0010016256551729288
42.072,1.2279442284314974,-0.004532716770702856,-0.001001659342748193
42.106,1.231351109387435,-0.004517358656450933,-0.001001598447581676
42.139,1.2346473646762794,-0.004502330251183878,-0.0010015404454271487
42.172,1.2379439986475216,-0.004487343967256473,-0.0010015006223438212
42.206,1.241341041520218,-0.004471943910232491,-0.0010014649536995747
42.239,1.244643671041199,-0.004457136371980793,-0.0010014322438573683
42.272,1.2479469279997097,-0.0044426282131554504,-0.0010014118971465764
42.306,1.251350903863062,-0.004427992732243288,-0.0010014023637824783
42.339,1.2546431185638551,-0.004413544244971542,-0.0010014089400476912
42.372,1.2579357057504879,-0.004398703094198415,-0.001001386402399617
42.406,1.2613286345984815,-0.004382471086839282,-0.0010013890169266286
42.439,1.2646346331062996,-0.004366131405551353,-0.0010014002397397519
42.472,1.2679413195349392,-0.004349686036840818,-0.001001422775074555
42.506,1.2713488505069037,-0.004332627439031984,-0.001001448197705375
42.539,1.2746655312271187,-0.0043163684397760855,-0.0010014859468157784
42.573,1.277982914919204,-0.004301129593742543,-0.0010015316562449576
42.606,1.2814014815561219,-0.0042864925528771115,-0.0010015801238561252
42.639,1.2847031934223596,-0.004273030812849436,-0.001001636101276824
42.672,1.2880053252687564,-0.004259692745541894,-0.0010017061183854974
42.706,1.2914079350224568,-0.004246094395649175,-0.0010017873391715108
42.739,1.294715250187932,-0.004233076833786208,-0.0010018510037879506
42.772,1.298022101495117,-0.0042203277477517905,-0.0010019089946598433
42.806,1.3014284004205108,-0.004207468018869887,-0.0010019694399573467
42.839,1.3047135852111205,-0.004194787195502543,-0.001001975124719369
42.872,1.307996597244535,-0.004181136903439316,-0.0010021238152930143
42.906,1.311365647180208,-0.004166225762743094,-0.001002272397479624
42.939,1.3145955346474623,-0.004154260732979046,-0.0010018578728266947
42.972,1.3177975644692317,-0.004136773629099761,-0.0010007352084361182
43.006,1.321156445732864,-0.0041191599047981425,-0.0010013326448595448
43.039,1.32444295464771,-0.004101038966266502,-0.0010017422416678141
43.072,1.3277278402009747,-0.0040821522662733735,-0.0010017376336941344
43.106,1.3311116687463629,-0.004061817503074609,-0.0010016891588096703
43.139,1.3344171483325291,-0.0040417451830995895,-0.001001597675584831
43.172,1.3377237733956129,-0.004021680026301884,-0.001001534352890309
43.206,1.341131093469527,-0.0040013148038941316,-0.0010014859470876582
43.239,1.3444418778487337,-0.00398207150101886,-0.0010014471171018446
43.272,1.3477533021641985,-0.003963711937218557,-0.0010014273869546203
43.306,1.3511659311854884,-0.003945712915089429,-0.001001417774604673
43.339,1.3544814890166486,-0.003929089840351466,-0.0010013980469520782
43.372,1.357797579922235,-0.003913225123987213,-0.001001389294286694
43.406,1.3612147267577372,-0.0038976793635515624,-0.0010013864323431577
43.439,1.3645272196909557,-0.003883097098672986,-0.0010013885936001748
43.472,1.3678402487427965,-0.003868558300332541,-0.0010013987000419312
43.506,1.3712542949438078,-0.0038536387726578803,-0.0010014203697971957
43.539,1.3745518135655916,-0.0038386591843028966,-0.0010014584795513433
43.572,1.3778497663416018,-0.0038225523454229965,-0.001001494084963004
43.606,1.3812482097505763,-0.003804706350407501,-0.0010015351377564118
43.639,1.384560361536013,-0.003786861452011069,-0.0010015730797618104
43.672,1.3878733223117576,-0.0037691781655452726,-0.001001629946550387
43.706,1.3912872734275108,-0.003751275595554058,-0.00100170173955157
43.739,1.3945823011853815,-0.0037340703190137233,-0.0010017615238396005
43.772,1.3978771756743955,-0.003716452742531567,-0.0010018260764757536
43.806,1.4012714444099261,-0.0036978624978938977,-0.0010018862584425595
43.839,1.4045613677384758,-0.0036793127211497884,-0.0010019317900856577
43.872,1.4078505063049223,-0.0036599967549017093,-0.0010019974127295807
43.906,1.4112379623670326,-0.0036393159613187275,-0.001002087522703747
43.939,1.414533208710702,-0.0036189218110693057,-0.0010022048364039492
43.972,1.4178116617467094,-0.0036106300613692782,-0.001002056753392877
44.006,1.4211554641437507,-0.0035916561211406374,-0.001001050572813033
44.039,1.424429965105901,-0.0035708665781763595,-0.0010012461921595286
44.072,1.4277333251973205,-0.0035497866082410314,-0.00100167344356554
44.106,1.4311361647315455,-0.003528809778758075,-0.0010016637294090122
44.139,1.4344229124333758,-0.00350858055480896,-0.0010016666524398227
44.172,1.4377093556667495,-0.003487597166756297,-0.0010016060508733216
44.206,1.4410957714400914,-0.003465223238098272,-0.0010015472234368474
44.239,1.4443995789429704,-0.003443049100697796,-0.0010015018365887585
44.272,1.447703983645122,-0.0034210819209280516,-0.0010014576092244182
44.306,1.4511091299905419,-0.003398639545156492,-0.0010014324037205084
44.339,1.454407824322409,-0.0033768369168594033,-0.001001419321351553
44.372,1.4577070153115672,-0.003354613988413828,-0.0010013990825677652
44.406,1.4611067539590334,-0.003331291823906495,-0.001001387697842332
44.439,1.4644127514492895,-0.0033084412903683696,-0.0010013836597710067
44.472,1.4677193792881642,-0.0032857731907556427,-0.0010013871994495119
44.506,1.471126810993661,-0.0032626091269307355,-0.0010013978095850806
44.539,1.4744326859044787,-0.0032403640490746483,-0.001001418587357781
44.572,1.4777391523282353,-0.003218395971590871,-0.0010014443312605613
44.606,1.4811464558492928,-0.003196059431158733,-0.0010014780445674679
44.639,1.4844398695817367,-0.003174417227991349,-0.0010015100179566645
44.672,1.4877339308495225,-0.0031521370074433655,-0.0010015484826538731
44.706,1.4911287015372587,-0.003128529375658856,-0.0010015988581493149
44.739,1.4944276116642992,-0.003105122090189013,-0.001001692094812788
44.772,1.4977269425930058,-0.0030817327029039297,-0.0010017708403334477
44.806,1.501126212461859,-0.0030576763957629,-0.0010018392904569545
44.839,1.504440383584678,-0.003034599142470084,-0.0010018980656389224
44.872,1.5077540237019544,-0.0030124139245779878,-0.001001957430086263
44.906,1.5111671112501144,-0.0029905037175549684,-0.0010020209082872468
44.939,1.5144500015103393,-0.002969813289179367,-0.0010020543940816896
44.972,1.5177305808645767,-0.0029484171494859285,-0.0010022386676946382
45.006,1.5210861024318278,-0.002928238008776259,-0.0010020824091030063
45.039,1.5243095567435785,-0.0029033535800250397,-0.0010008821942750351
45.071,1.5275698706110405,-0.0028786925029282914,-0.001001175983949311
45.106,1.5309727836490674,-0.0028524258915836515,-0.001001813135885713
45.139,1.53427706875044,-0.0028276780315812915,-0.0010016769338599303
45.172,1.537581341193849,-0.0028036119641076797,-0.0010016374667792469
45.206,1.5409857482319427,-0.002779504152534932,-0.001001583614781542
45.239,1.5442930901226668,-0.002756639810256077,-0.0010015356364948443
45.272,1.5476009617137287,-0.0027342053963589704,-0.0010014874562979115
45.306,1.551009753723929,-0.0027115352429352662,-0.0010014560440828012
45.339,1.5543191961838052,-0.00268996501723632,-0.0010014301271250511
45.372,1.5576292069585818,-0.0026688456259520107,-0.0010014145891442255
45.406,1.5610401729668115,-0.002647568453388913,-0.001001397342483383
45.439,1.5643274872825583,-0.002626501306259781,-0.001001430466622176
45.472,1.5676149982850986,-0.0026046898130565816,-0.0010014168679077437
45.506,1.5710025835083465,-0.0025813545645364472,-0.0010013937723368851
45.539,1.5743166316361088,-0.0025577002292066072,-0.0010013932079458096
45.572,1.5776317187169058,-0.0025341027731230776,-0.0010014159022916497
45.606,1.5810478937836265,-0.0025099395078948938,-0.0010014429816551165
45.639,1.5843589560481617,-0.002486903780985496,-0.0010014762209940437
45.672,1.5876706124899638,-0.002464579974845274,-0.001001517580336831
45.706,1.5910832759404152,-0.0024423254805103017,-0.0010015664382132528
45.739,1.5943878146010122,-0.0024211768731776328,-0.0010016162717288689
45.772,1.597692867022095,-0.0023998938892746445,-0.0010016839453219142
45.806,1.601098544178349,-0.002377834797440929,-0.0010017652903803673
45.839,1.6043887680299922,-0.0023562429495967577,-0.0010018005369953412
45.872,1.6076786354086123,-0.002333898380333455,-0.0010018591214500869
45.906,1.6110676351052584,-0.00231006164839863,-0.0010019215458196597
45.939,1.6143646514954597,-0.0022862616734159185,-0.0010020159163434718
45.972,1.6176604303008542,-0.002262322965914896,-0.0010020876075474937
46.006,1.6210527845339027,-0.00223749414001147,-0.0010022336660902992
46.039,1.624328005923907,-0.002219459913149057,-0.001002218824036321
46.072,1.6275606740688153,-0.0021951047550595247,-0.001000956385766815
46.105,1.6309189331865415,-0.0021676789955971175,-0.0010011500763981475
46.139,1.634207609136368,-0.0021402304689239374,-0.0010017022278190138
46.172,1.6374954820117211,-0.002112750376099785,-0.0010016883667659932
46.206,1.6408825956397206,-0.0020843318987006755,-0.001001668657554012
46.239,1.644198317680404,-0.0020568878082356467,-0.00100158660637625
46.272,1.6475153812984877,-0.0020303969748678243,-0.0010015291229147558
46.306,1.6509337623588545,-0.002004033296735906,-0.001001489297070935
46.339,1.6542191773018482,-0.001978841697529204,-0.0010014652892519939
46.372,1.6575045666225563,-0.0019527109917675109,-0.0010014409904013817
46.406,1.6608900606382204,-0.0019248472353652762,-0.0010014198187107588
46.439,1.6641978691599704,-0.0018972649129134292,-0.0010013962815570467
46.472,1.6675067433742112,-0.0018701432238850777,-0.0010013915735682943
46.506,1.6709164582263363,-0.0018426878585973594,-0.0010013879685023264
46.539,1.6742180803464548,-0.001816161611881838,-0.0010013881943298011
46.572,1.67752019317908,-0.0017890632329541029,-0.0010013955342472632
46.606,1.680922982773751,-0.0017605624885281283,-0.0010014134705309576
46.639,1.6842194587234023,-0.0017324641880743963,-0.0010014416280038074
46.672,1.6875164876036473,-0.0017039894701465297,-0.001001468405348753
46.706,1.690914170862089,-0.0016742784222259991,-0.001001502892441445
46.739,1.6942278070030508,-0.0016455388716866634,-0.0010015623033249495
46.771,1.6975423221692827,-0.0016180016132745455,-0.0010016163463001243
46.806,1.7009579017933523,-0.0015908904204451255,-0.0010016851321461052
46.839,1.7042468259576236,-0.0015652252976561956,-0.0010017112799234514
46.872,1.707535287747646,-0.001538476141636756,-0.00100177860946132
46.906,1.710923167151064,-0.0015097414476683277,-0.001001838936553947
46.939,1.714232072026935,-0.0014810296988880438,-0.0010019435790828667
46.972,1.7175404735251802,-0.0014528905647762768,-0.0010020095645551473
47.006,1.7209478137301506,-0.0014245318082696402,-0.001002085457092107
47.039,1.7242372678559112,-0.0013975661901867336,-0.0010022914934532355
47.072,1.7275097315663273,-0.0013770148448029322,-0.0010022140801415474
47.106,1.7308363525328356,-0.0013517900258654843,-0.0010010107214420277
47.139,1.734087181087544,-0.0013225575341033794,-0.001001318731912896
47.171,1.7373770536632158,-0.0012920038446806602,-0.0010018711576749648
47.206,1.740769893730525,-0.0012605666760401048,-0.0010017044126261025
47.239,1.744083816755457,-0.001230272100435512,-0.0010016102310239638
47.272,1.7473985775342584,-0.0012008536599577013,-0.0010015875659717503
47.306,1.7508142124733488,-0.0011714128531686151,-0.0010015326342259039
47.339,1.7541184927992979,-0.0011436725352467541,-0.0010014923537917837
47.372,1.7574233662354233,-0.0011165702131290631,-0.0010014591784676917
47.406,1.7608290116062615,-0.0010893265320348845,-0.0010014312855522456
47.439,1.7641370776682233,-0.0010632115910583551,-0.0010014225213491844
47.472,1.7674457200024132,-0.0010369955984086928,-0.0010014048571631157
47.506,1.7708552000296218,-0.0010098953989562515,-0.0010013910431174722
47.539,1.7741423257955697,-0.0009834104812859441,-0.0010013895768317058
47.572,1.7774298270086917,-0.00095615060223757,-0.0010013853903741293
47.605,1.7808175440932708,-0.0009272668905441955,-0.0010013939344297763
47.639,1.7841244535182823,-0.000898555023218007,-0.0010014096373381076
47.672,1.7874321028985591,-0.0008697082149086622,-0.0010014359906149184
47.706,1.7908406499068057,-0.0008398526993714403,-0.001001466772287022
47.739,1.7941485540102413,-0.000810993716406801,-0.0010015109417736735
47.772,1.7974570790174982,-0.0007826118007709488,-0.001001557361277227
47.806,1.8008665107398598,-0.0007538713256404593,-0.0010016117029571017
47.839,1.8041754486139845,-0.0007263996824902225,-0.0010016769781297508
47.872,1.807484872068205,-0.0006992325687937998,-0.0010017546971721816
47.906,1.8108946837953845,-0.0006715744472750145,-0.0010018274601391215
47.939,1.8141753727182472,-0.0006445149724482693,-0.0010018411511995215
47.972,1.8174550050607605,-0.0006160167311416124,-0.0010019012695063265
48.006,1.8208335489039038,-0.0005849555630257165,-0.0010019762491700682
48.039,1.824145047374817,-0.0005539212361549354,-0.0010020594017586155
48.072,1.827456159382799,-0.0005231500537550095,-0.0010022017261788092
48.107,1.830854086938319,-0.0004977217103145256,-0.0010022779955472412
48.139,1.8341000158106087,-0.00047616093528741495,-0.001001263947936079
48.172,1.8373485788559214,-0.0004444974774086209,-0.0010013359091024104
48.206,1.8407270857469562,-0.0004103982163748451,-0.0010018592377083607
48.239,1.8440099924679583,-0.0003768675939320986,-0.0010017248148381612
48.272,1.8472927433454278,-0.0003425472752194665,-0.0010016727062384795
48.306,1.8506747736554692,-0.00030634255442312723,-0.0010016272649754042
48.339,1.8539698074409685,-0.00027054440271623374,-0.0010015742404995108
48.372,1.8572653418098435,-0.00023467283862705536,-0.0010015192441798736
48.406,1.860661245345566,-0.00019763344919300222,-0.0010014778838860657
48.439,1.8639755663260547,-0.00016186752892149336,-0.0010014362518482624
48.472,1.8672909789464343,-0.00012706301993847672,-0.0010014225095097938
48.506,1.870707546768921,-9.22366075973758e-05,-0.0010014087372735535
48.539,1.8739977512623178,-5.936300070518349e-05,-0.0010013968635170546
48.572,1.8772883011667931,-2.662018016942428e-05,-0.0010013862042765713
48.606,1.8806791789267443,6.9696043074223745e-06,-0.0010013862885489486
48.639,1.883979892160116,3.982805341306643e-05,-0.0010013915849436325
48.672,1.8872812310657938,7.331179195594804e-05,-0.0010014084917068233
48.706,1.890683231371647,0.00010845146219250556,-0.001001433975713506
48.739,1.8939955611898056,0.00014291992141078492,-0.0010014645832333788
48.772,1.8973085977333561,0.0001771139704323031,-0.0010015048890472701
48.806,1.9007226797938759,0.00021205907152198553,-0.0010015525936709346
48.839,1.9040311512399808,0.0002454409594928285,-0.0010016045575183888
48.872,1.9073401904015457,0.0002780721064355883,-0.0010016684565045016
48.906,1.91075004683524,0.00031090453402152874,-0.001001747505588721
48.939,1.91403396431265,0.0003423577216578737,-0.0010017671898389126
48.972,1.9173171159043527,0.0003749109431554416,-0.0010018255251611381
49.006,1.9206993474640077,0.00040965979617757346,-0.0010018874748546208
49.039,1.9239947449659731,0.0004444386920571681,-0.0010019894487614985
49.072,1.9272890179517561,0.0004794348321031359,-0.0010020583570493485
49.106,1.9306807628192926,0.0005157174192207152,-0.0010021793356878965
49.139,1.9339660210571041,0.0005473956965495948,-0.0010022371091788877
49.172,1.937208352981612,0.0005734612174028034,-0.0010011827425693738
49.205,1.9405490364898255,0.000612065186586703,-0.001001126645279779
49.239,1.9438227016956795,0.0006513308001033479,-0.001001745411671088
49.272,1.9471060930508992,0.0006910143242877725,-0.001001728784635586
49.306,1.9504881073518012,0.0007322534531772393,-0.0010016779048091576
49.339,1.9537904977588187,0.0007722990457470456,-0.001001596217759259
49.372,1.9570940340659824,0.0008113858765341599,-0.0010015413779640298
49.406,1.9604984796569738,0.0008507351143581157,-0.0010015005789467402
49.439,1.963816354825398,0.0008880696167367589,-0.0010014669046529354
49.472,1.9671351384333193,0.000924282396650268,-0.0010014479787962098
49.506,1.9705553154074789,0.0009603919814401226,-0.0010014296319981048
49.539,1.9738600826308836,0.0009946875192182287,-0.0010014126325267464
49.572,1.9771652415268965,0.001029283169868491,-0.001001395069831247
49.606,1.9805711315071106,0.0010652304719089387,-0.0010013883088312511
49.639,1.9838808216289614,0.0011002843809831294,-0.0010013861376790834
49.672,1.9871911225794872,0.00113522326236162,-0.0010013939645394272
49.706,1.9906023515365538,0.001171096242554105,-0.001001409590832971
49.739,1.9939103278794745,0.0012057634092921938,-0.0010014350981836576
49.772,1.9972188860703988,0.0012403290113296194,-0.0010014637380265472
49.806,2.000628345237045,0.001275827823457203,-0.0010015038284615467
49.839,2.00392808713285,0.0013100936380656758,-0.001001550078005748
49.872,2.007228370057821,0.0013443191367855213,-0.0010016003093543044
49.906,2.010629283273132,0.0013795343893904764,-0.00100166499072038
49.939,2.0139359441987805,0.0014137346507709144,-0.001001740733160228
49.972,2.0172428522283394,0.0014479135396963069,-0.001001815088739099
50.006,2.0206496001413936,0.0014831026339496205,-0.0010018763370782668
50.039,2.023943177533185,0.0015173013784929227,-0.0010019095324845899
50.072,2.0272360386448764,0.0015521241193856754,-0.0010019698281627486
50.106,2.030627604118729,0.0015886385371892424,-0.001002045054539217
50.139,2.033930486079852,0.001624748422043252,-0.001002099380022669
50.172,2.0372199438758147,0.0016583762376092724,-0.0010022423792708096
50.206,2.0405644713880213,0.0016895245163291316,-0.001001268145031417
50.239,2.0438077636402165,0.0017284334616543022,-0.0010013005581631061
50.272,2.0470823309912527,0.0017692556913400678,-0.001001650100009105
50.306,2.0504729381726037,0.0018116436983014862,-0.0010017287828359665
50.339,2.0537669410081807,0.0018527428443013865,-0.0010016659108618535
50.372,2.0570607080074024,0.0018935791039830627,-0.0010016312867280504
50.406,2.060454492783836,0.0019353948207988896,-0.0010015675047377257
50.439,2.0637461380303965,0.0019759680650786354,-0.0010015244625184959
50.472,2.0670382405034937,0.0020168792372710566,-0.00100148592054004
50.506,2.070430630014535,0.002059366101113278,-0.0010014504509629173
50.539,2.073724050407273,0.0021007845672346686,-0.0010014265097312014
50.572,2.077018038593711,0.0021421666533987913,-0.0010014108354205672
50.606,2.0804124179926022,0.0021847617497464744,-0.0010013935785894122
50.639,2.08371256979407,0.00222622433566103,-0.001001385667313736
50.672,2.0870133073316497,0.0022678784188038185,-0.0010013864743608318
50.706,2.09041466135846,0.0023109875349957565,-0.0010013915313028601
50.739,2.0937168007145566,0.00235304109636588,-0.001001405677787219
50.772,2.0970195263219753,0.002395337244486555,-0.0010014288657576031
50.806,2.1004229903892107,0.0024391540934285967,-0.0010014561986639442
50.839,2.103726351127997,0.0024817410252654555,-0.0010014971916089896
50.872,2.1070303271701145,0.002524139587150076,-0.0010015416159849175
50.906,2.1104350722410166,0.0025676198699736926,-0.0010015939365477858
50.939,2.113742132158404,0.0026096198883003366,-0.0010016553965430351
50.972,2.117049749234058,0.002651360443596133,-0.0010017296661071033
51.006,2.120457882097976,0.0026940833654809887,-0.0010018083395605254
51.039,2.1237566806693873,0.0027351545239367274,-0.00100186823851749
51.072,2.127054834215942,0.0027759494372841254,-0.0010019264103538865
51.106,2.130452106426652,0.00281768357319837,-0.0010019876433674385
51.139,2.1337646970972335,0.0028578623964100663,-0.0010020942547108655
51.172,2.13707607029146,0.002897239520146591,-0.0010021512260498834
51.206,2.140478144829821,0.0029354804046695725,-0.0010022654967261832
51.239,2.1437394839914945,0.002958889407096871,-0.0010017519900533088
51.272,2.1469804927808895,0.002998848641750678,-0.0010012534676217578
51.306,2.15035466730019,0.003041761172066867,-0.0010018122710304042
51.34,2.1536440615004144,0.0030847353552305246,-0.0010016857037871071
